Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,TA_restaurants_curated.Price Range
279 avenue Daumesnil,restaurant,84200,48.835514984584,2.4060916900635,Paris,McDonald's,4b49e1aff964a520487526e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84200,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84200,$
28 rue Henry Monnier,restaurant,91662,48.880488837229,2.3375468750684,Paris,Buvette,52355d9b11d2d8b38bc84f2b,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=91662,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91662,$$ - $$$
"28, Av. Corentin Cariou",restaurant,86775,48.89724086888,2.3852348327637,Paris,Hippopotamus,4c515b273940be9a4e2ab608,0,BBQ Joint,http://tour-pedia.org/api/getPlaceDetails?id=86775,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86775,$$ - $$$
284 rue des Pyrénées,restaurant,90489,48.871031,2.393719,Paris,Le Refectoire,50891765e4b09cdfe680338d,0,Food Truck,http://tour-pedia.org/api/getPlaceDetails?id=90489,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90489,$$ - $$$
29 boulevard de l'Amiral Bruix,restaurant,89233,48.875628370365,2.2807230431452,Paris,Le Camion Qui Fume,4eda1ef72c5b50ab9e31aabf,0,Food Truck,http://tour-pedia.org/api/getPlaceDetails?id=89233,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89233,$
3 Ave. Théophile Gautier,restaurant,88173,48.850935944336,2.2748994827271,Paris,Genio,4dc28ab152b1c1fb37ea4f99,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=88173,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88173,$$ - $$$
30 rue de Berri,restaurant,88850,48.873251408007,2.3060646980173,Paris,EXKi,4e6f3d022271c30fff4b9ad8,0,Vegetarian / Vegan Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=88850,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88850,$
31 avenue Corentin Cariou,restaurant,87339,48.897226926364,2.3852310312337,Paris,Mushimushi,4ccf08182dc437043f50d808,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87339,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87339,$
31 Rue de Paradis,restaurant,87497,48.875258,2.351407,Paris,Nanashi,4d0905151657a35df0d02fe7,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87497,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87497,$$ - $$$
31 rue Marie-Andrée Lagoua Weill-Hallé,restaurant,87216,48.829455451247,2.3792910575867,Paris,Hippopotamus,4cae3daf155f199c91a80bda,0,BBQ Joint,http://tour-pedia.org/api/getPlaceDetails?id=87216,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87216,$$ - $$$
32 Bd Vaugirard,restaurant,88953,48.841528976405,2.317787,Paris,Subway,4e84816b6c25e04e6e3d6286,0,Sandwich Place,http://tour-pedia.org/api/getPlaceDetails?id=88953,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88953,$
32 rue Saint-Sauveur,restaurant,90550,48.866205874996,2.3474489594377,Paris,Big Fernand,50a517b1e4b0c296e80a74d7,0,Burger Joint,http://tour-pedia.org/api/getPlaceDetails?id=90550,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90550,$$ - $$$
34 avenue Villiers,restaurant,84546,48.882389,2.311892,Paris,Le Dumas,4b66e2d1f964a520cf2e2be3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84546,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84546,$$ - $$$
35 bis Rue Jean de la Fontaine,restaurant,87317,48.850644,2.271069,Paris,L'Acajou,4cc9a19f5c17b60c0f520a05,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87317,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87317,$$$$
38 Avenue de Suffren,restaurant,84615,48.855066558573,2.2998331422236,Paris,38 Eiffel,4b6c69aef964a5200b382ce3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84615,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84615,$$ - $$$
